,scoredFor,xGF_before,xGF_after,xGA_before,xGA_after,time_before,time_after,anyone_switch,forw_switch,def_switch,us,them,score_dif
4946,0,0.0,0.0,0.0,0.0,2.0,14.0,0,1,0,"(8470794.0, 8466138.0, 8475834.0, 8477046.0, 8470613.0)","(8477492.0, 8478420.0, 8476455.0, 8475197.0, 8474013.0)",
4947,1,0.0,0.0,0.0,0.0,2.0,14.0,0,0,1,"(8477492.0, 8478420.0, 8476455.0, 8475197.0, 8474013.0)","(8470794.0, 8466138.0, 8475834.0, 8477046.0, 8470613.0)",
4948,0,0.0,0.0,0.145932,0.0,21.0,38.0,0,0,0,"(8477934.0, 8478402.0, 8475178.0, 8475755.0, 8477498.0)","(8475209.0, 8470755.0, 8476326.0, 8475246.0, 8477851.0)",
4949,1,0.145932,0.0,0.0,0.0,0.0,38.0,0,0,1,"(8475209.0, 8470755.0, 8476326.0, 8475246.0, 8477851.0)","(8477934.0, 8478402.0, 8475178.0, 8475755.0, 8477498.0)",
4950,1,0.0,0.0,0.0,0.0,4.0,15.0,0,0,1,"(8477934.0, 8478402.0, 8475178.0, 8476457.0, 8477498.0)","(8476994.0, 8475209.0, 8470755.0, 8471769.0, 8475171.0)",
4951,0,0.0,0.0,0.0,0.0,4.0,33.0,0,0,0,"(8476994.0, 8475209.0, 8470755.0, 8471769.0, 8475171.0)","(8477934.0, 8478402.0, 8475178.0, 8476457.0, 8477498.0)",
4952,1,0.0,0.0,0.0,0.0,48.0,0.0,0,0,1,"(8477934.0, 8478402.0, 8475178.0, 8476457.0, 8477498.0)","(8476994.0, 8475209.0, 8470755.0, 8471769.0, 8475171.0)",
4953,0,0.0,0.0,0.0,0.0,7.0,47.0,0,0,0,"(8476994.0, 8475209.0, 8470755.0, 8471769.0, 8475171.0)","(8477934.0, 8478402.0, 8475178.0, 8476457.0, 8477498.0)",
4954,0,0.0,0.0529039,0.0673637,0.0,7.0,15.0,1,1,1,"(8470595.0, 8475798.0, 8475722.0, 8470600.0, 8474716.0)","(8478483.0, 8475166.0, 8477015.0, 8479458.0, 8474581.0)",
4955,1,0.0673637,0.0,0.0,0.0529039,7.0,15.0,1,1,1,"(8478483.0, 8475166.0, 8477015.0, 8479458.0, 8474581.0)","(8470595.0, 8475798.0, 8475722.0, 8470600.0, 8474716.0)",
4956,0,0.0,0.33550149999999995,0.0742666,0.0,0.0,29.0,0,1,0,"(8475745.0, 8479316.0, 8470610.0, 8474688.0, 8474716.0)","(8478483.0, 8475166.0, 8477015.0, 8468493.0, 8476853.0)",-1.0
4957,1,0.0742666,0.0,0.0,0.33550149999999995,0.0,29.0,1,1,1,"(8478483.0, 8475166.0, 8477015.0, 8468493.0, 8476853.0)","(8475745.0, 8479316.0, 8470610.0, 8474688.0, 8474716.0)",1.0
4958,1,0.4131679,0.0,0.0,0.014311099999999998,39.0,42.0,0,0,0,"(8475745.0, 8479316.0, 8470610.0, 8470600.0, 8474716.0)","(8477939.0, 8479318.0, 8477341.0, 8468493.0, 8476853.0)",-2.0
4959,0,0.0,0.014311099999999998,0.4131679,0.0,39.0,42.0,0,0,0,"(8477939.0, 8479318.0, 8477341.0, 8468493.0, 8476853.0)","(8475745.0, 8479316.0, 8470610.0, 8470600.0, 8474716.0)",2.0
4960,1,0.0,0.0,0.0,0.0,2.0,32.0,0,0,0,"(8469459.0, 8470595.0, 8470610.0, 8470600.0, 8474716.0)","(8466139.0, 8477939.0, 8477341.0, 8479458.0, 8474581.0)",
4961,0,0.0,0.0,0.0,0.0,2.0,32.0,0,0,0,"(8466139.0, 8477939.0, 8477341.0, 8479458.0, 8474581.0)","(8469459.0, 8470595.0, 8470610.0, 8470600.0, 8474716.0)",
4962,0,0.0,0.0,0.0,0.0,21.0,16.0,0,0,0,"(8470595.0, 8475798.0, 8475722.0, 8470600.0, 8476372.0)","(8477939.0, 8479318.0, 8477341.0, 8478408.0, 8480943.0)",
4963,1,0.0,0.0,0.0,0.0,0.0,38.0,0,1,0,"(8477939.0, 8479318.0, 8477341.0, 8478408.0, 8480943.0)","(8470595.0, 8475798.0, 8475722.0, 8470600.0, 8476372.0)",
4964,1,0.0,0.0,0.0,0.0,28.0,25.0,0,0,0,"(8469459.0, 8475799.0, 8478413.0, 8470600.0, 8474716.0)","(8466139.0, 8475172.0, 8477953.0, 8478408.0, 8480943.0)",
4965,0,0.0,0.0,0.0,0.0,28.0,25.0,0,0,1,"(8466139.0, 8475172.0, 8477953.0, 8478408.0, 8480943.0)","(8469459.0, 8475799.0, 8478413.0, 8470600.0, 8474716.0)",
4966,1,0.0,0.0,0.0,0.0,1.0,15.0,0,0,1,"(8475745.0, 8479316.0, 8470610.0, 8476463.0, 8474688.0)","(8478483.0, 8479318.0, 8477341.0, 8479458.0, 8476853.0)",
4967,0,0.0,0.0,0.0,0.0,1.0,15.0,0,0,0,"(8478483.0, 8479318.0, 8477341.0, 8479458.0, 8476853.0)","(8475745.0, 8479316.0, 8470610.0, 8476463.0, 8474688.0)",
4968,0,0.0,0.0,0.06979910000000002,0.0118879,13.0,59.0,0,0,0,"(8476873.0, 8477935.0, 8471707.0, 8478397.0, 8478430.0)","(8477987.0, 8471276.0, 8478498.0, 8476891.0, 8476191.0)",
